qi,col,n,base,gain,null_gain
83,"For male ejaculate, which of the following d",1604,0.0133,0.134,-0.0055
7,"For precum, which of the following do you fi",1289,0.0183,0.1053,-0.006
4,Which of the following bodily secretions do ,2896,0.0612,0.0873,-0.0029
9,"For squirt, which of the following do you fi",2358,0.0708,0.087,-0.0024
62,"Which of the following do you find erotic, i",3398,0.019,0.0674,-0.0022
93,Which of the following do you find erotic? (,3228,0.0272,0.0647,-0.0022
77,Which of the following do you find erotic? (,5043,0.0401,0.0546,-0.0016
73,Which of the following do you find erotic? (,2386,0.0274,0.0505,-0.0033
17,Which of the following do you find erotic? (,1367,0.025,0.0439,-0.007
92,Which of the following do you find erotic? (,3592,0.0161,0.0394,-0.0023
29,Which of the following roles are erotic?,5388,0.0275,0.0383,-0.0016
55,Which of the following types of sadomasochis,5034,0.0367,0.0376,-0.0014
19,Which of the following do you find erotic? (,3805,0.0232,0.0364,-0.0023
1,Which of the following sex acts do you find ,14901,0.0745,0.0356,-0.0005
11,"For urine, which of the following do you fin",1324,0.0489,0.0351,-0.0063
79,Which of the following body modifications do,9235,0.0532,0.0343,-0.0009
96,Which of the following do you find erotic? (,2342,0.0247,0.0337,-0.0037
81,Which of the following do you find erotic? (,1654,0.0073,0.0324,-0.0056
36,Which of the following sensations do you fin,2859,0.0182,0.0324,-0.0029
53,Which of the following do you find erotic? (,2879,0.0366,0.0314,-0.0035
91,Which of the following do you find erotic? (,1322,0.0341,0.0311,-0.0057
63,Which of the following do you find erotic? (,5005,0.0206,0.0297,-0.0019
8,"For saliva, which of the following do you fi",1468,0.0279,0.0284,-0.007
39,Which of the following categories of transfo,1702,0.0141,0.0262,-0.0054
48,Which of the following types of mental alter,2915,0.0205,0.0257,-0.0032
67,Which of the following nonconsent scenarios ,5415,0.0089,0.0242,-0.0015
85,Which of the following do you find erotic? (,2190,0.0349,0.0241,-0.004
42,For Which of the following categories of abn,1665,0.0283,0.0233,-0.005
13,Which of the following do you find to be ero,8645,0.0501,0.0197,-0.001
20,Which of the following do you find erotic? (,4978,0.0246,0.009,-0.0013
90,Which of the following do you find erotic? (,3680,0.0324,0.0086,-0.0023
51,"When it comes to bestiality, which of the fo",1260,-0.0012,0.0032,-0.0056
