item,block,f1,f2,f3,f4,f5,f6
Anal fingering,1,-0.3408802920840636,0.22971567635408832,-0.15355727968280064,0.12053318905066356,-0.08355609060283958,0.13142352251432163
Ass-to-mouth/rimming,1,-0.19219830892930212,0.05094918930480069,-0.0735452969976724,-0.011139519816931953,-0.02177838598695489,0.08078023412532884
Creampies (ejaculating into a vagina),1,0.08635770852862584,-0.17821647292743237,0.20970656840803997,0.1283626895266031,0.2983543779547965,-0.08186878941383342
Facefucking,1,0.2339926790455763,0.26727960383616695,0.3003133050103794,0.10150869931193987,-0.1503446119155836,0.18911386259044127
Facesitting,1,-0.047216395307580206,-0.26947180341305366,-0.01652598776623221,0.1833791922509394,-0.7488322865945353,-0.012018300005761734
Facials (ejaculating onto a face),1,0.21175772962672623,0.14335933646782667,0.4636164369273377,0.12050355158982846,0.06246801540271224,0.1907066641701084
Fingering mouths,1,0.2225600522166749,0.28717244294106514,-0.07879791960943777,-0.15254701816318256,-0.14650767851966262,-0.43546332217205835
Fisting (anuses),1,-0.22913516781365256,0.015548000459461808,-0.031810743718950096,-0.08058537606507019,0.14912534545827935,-0.009203396903597894
Fisting (vaginas),1,-0.21432792154009053,-0.01692415660557152,-0.05070537692606247,-0.013583469066797159,0.2659047896619543,-0.09715267240776215
Hair pulling,1,0.32793009112538896,0.09566911644356453,-0.3714903230417579,-0.12570662490851742,0.10541710376463148,0.2543042631017312
Handjobs,1,0.13620420404361885,-0.15076455155307691,0.41098366389022406,-0.4413571610804173,-0.04020049524326105,-0.06481701534969947
Pegging,1,-0.37822394204073506,0.10453770308001137,0.007852848549253971,-0.20326426213753285,-0.06135516005745451,-0.04679173033003228
Rimming,1,-0.17390458459428745,-0.04617847223257883,-0.017104688306213284,-0.12832679477821923,0.025718549542735336,0.008982156452461698
Spanking,1,0.2725455173879804,0.08914536690331609,-0.4350509112523281,-0.039571288455433284,0.04874836015456885,0.270813082718802
Squirting,1,0.01772506771307434,-0.34279420440907477,-0.05330289855973835,0.5420004559668818,0.16780379119785366,-0.27485803454842345
Vaginal fingering,1,0.06681356262204555,-0.27902677464951314,-0.11058139692404267,-0.00020626322475453263,0.129034375782759,-0.10395052454202577
Belches,4,0.00560614172563789,-0.019278298834805804,-0.008537249113912494,-0.003627529242208341,-0.0006131841609941513,0.010808644011883806
Blood (menstrual),4,0.010446219374695557,-0.008419585889703072,-0.006838792764682783,0.0024578746392218756,0.003211534391049181,-0.01083733543480625
Blood (normal),4,0.03201230467764033,0.03250179573476705,-0.0073534720724342615,-0.016904080481668426,-0.003144197096642931,-0.05776749268467907
Breast milk,4,-0.0202854196816591,-0.008524468990241387,0.0004816932393719223,0.029638898482572743,0.017180540401578764,0.02073427922476262
Cum (male ejaculate),4,-0.00010900304938273141,0.02561677104109587,0.024616937196296006,-0.02560212073064106,0.004362322183583222,-0.025269826191092012
Farts,4,-0.017415921912979863,-0.020173408979139374,-0.008128735172455784,-0.010854606164993555,-0.011307764725110145,0.027864859477738146
Precum,4,0.001621679112506507,0.027914125852478648,0.027416243022337736,-0.02507818403662972,-0.006976140343550639,-0.030043494778695494
Saliva,4,0.02133000905656993,0.04349172237330869,0.003554268112885714,0.005122124083886115,-0.017441600632604054,-0.015546876109561236
Scat (poop),4,-0.018679285590078826,-0.014870284696850684,-0.004969168875444459,-0.008007604221502963,-0.0006538287691419133,0.02371138975250241
Smegma,4,0.002271979125003685,-0.013545645979219888,-0.003968568052150821,-0.0030567881486348197,0.005429293976002365,0.008419940136844054
Squirt,4,0.017798750154966975,-0.06567790141460539,-0.017958275110518125,0.06915922382513516,0.01521141310022144,0.015694218431448276
Sweat,4,0.013397375428261908,0.009673036735042412,-0.008068335355588624,-0.0060060912337604,-0.021569914752924347,-0.007568723181416381
Urine,4,-0.050570841103841566,0.023188407954023244,0.014745982776156507,-0.006383264205499757,0.010527784323694923,0.029529308988111562
Vomit,4,0.0025760126826592836,-0.011896264906150329,-0.0049925278298605024,-0.0008578525652767991,0.005783742104838329,0.010271108356959423
Consuming it myself,7,0.004269153110811596,0.010267046967685826,-0.0008140987828870963,-0.010055475319060538,-0.008371118358805859,-0.024072365832138478
Huge amounts of precum,7,3.651479608545533e-05,-0.0010603386521926574,0.006979190563870355,-0.000709274164492326,0.004887308971812883,-0.003927057602622166
Making precum myself,7,-0.01390446219109699,-0.010269365268809508,-0.0005193498573598973,0.005815579138426708,0.0002828084429035581,0.033748977794308715
Others consuming it,7,-0.00809085840130983,-0.0016099315376548874,0.0010731774063510928,0.009434190658832546,0.0017305363300085968,0.026113722751235604
Others making precum,7,0.009695138424334086,0.003734536553966487,-0.0017785175232584484,-0.010111433018640922,-0.0024037605683679525,-0.021622844176323472
"Others playing with it (e.g., smearing)",7,0.004472367531243348,-0.00014196947467260361,-0.0031124954165129104,0.010479012951622426,-0.0013137817582148518,0.007372620627898966
"Playing with it myself (e.g., smearing)",7,0.0063346351129267234,0.0015046160919028645,-0.0019332309623140364,-0.006144347159399505,-0.004421619403954375,-0.02070569997361228
Putting precum into my orifices,7,0.0032373195132779802,0.00785126374128247,0.0030713125095441908,-0.003997465005572329,0.000936117608203333,-0.02216023772875862
Putting precum into others' orifices,7,-0.006313652848912286,-0.004140912974270951,-0.00037570113867874225,0.009495229635350363,0.00511573085719384,0.021563923672345175
"Unusual precum (e.g., coloring, thickness)",7,0.0002638449526399505,-0.006134945447237093,-0.002590286798754561,-0.004206017717066473,0.003557777879220871,0.0036889604676665936
Consuming it myself,8,-0.0035136579578894057,-0.0004324604553633678,-0.0006970207242743703,-0.008430179717342463,-0.012126730837501197,-0.005286874469968575
Huge amounts of saliva,8,-0.012852210434038547,0.0012400015330699982,0.005234805872003405,-0.0028396588993208167,0.003930556563942464,0.011134122366520257
Making saliva myself,8,0.00826364797135283,0.00032722154869892195,0.000858679967584606,-0.004781872968236208,-0.0009045954447844256,-0.012859328662031471
