item_id,qi,col,option,n,n_respondents,rate
0::69,0,Which of the following sexual positions do you find significantly erotic?,69,7579,15273,0.496
0::Cow-girl,0,Which of the following sexual positions do you find significantly erotic?,Cow-girl,1,15273,0.0
0::Cowgirl,0,Which of the following sexual positions do you find significantly erotic?,Cowgirl,10874,15273,0.712
0::Doggystyle,0,Which of the following sexual positions do you find significantly erotic?,Doggystyle,12231,15273,0.801
0::Missionary,0,Which of the following sexual positions do you find significantly erotic?,Missionary,11581,15273,0.758
0::Reverse Cowgirl,0,Which of the following sexual positions do you find significantly erotic?,Reverse Cowgirl,7834,15273,0.513
0::Spooning,0,Which of the following sexual positions do you find significantly erotic?,Spooning,8372,15273,0.548
0::Standing up,0,Which of the following sexual positions do you find significantly erotic?,Standing up,7857,15273,0.514
1::Anal fingering,1,Which of the following sex acts do you find significantly erotic?,Anal fingering,5236,15250,0.343
1::Ass-to-mouth/rimming,1,Which of the following sex acts do you find significantly erotic?,Ass-to-mouth/rimming,1968,15250,0.129
1::Creampies (ejaculating into a vagina),1,Which of the following sex acts do you find significantly erotic?,Creampies (ejaculating into a vagina),11335,15250,0.743
1::Creampies (éjaculer dans un vagin),1,Which of the following sex acts do you find significantly erotic?,Creampies (éjaculer dans un vagin),1,15250,0.0
1::Destination vaginale,1,Which of the following sex acts do you find significantly erotic?,Destination vaginale,1,15250,0.0
1::Facefucking,1,Which of the following sex acts do you find significantly erotic?,Facefucking,9106,15250,0.597
1::Facesitting,1,Which of the following sex acts do you find significantly erotic?,Facesitting,8638,15250,0.566
1::Facials (ejaculating onto a face),1,Which of the following sex acts do you find significantly erotic?,Facials (ejaculating onto a face),7622,15250,0.5
1::Fessée,1,Which of the following sex acts do you find significantly erotic?,Fessée,1,15250,0.0
1::Fingering mouths,1,Which of the following sex acts do you find significantly erotic?,Fingering mouths,6576,15250,0.431
1::Fisting (anuses),1,Which of the following sex acts do you find significantly erotic?,Fisting (anuses),1061,15250,0.07
1::Fisting (vaginas),1,Which of the following sex acts do you find significantly erotic?,Fisting (vaginas),2216,15250,0.145
1::Hair pulling,1,Which of the following sex acts do you find significantly erotic?,Hair pulling,10465,15250,0.686
1::Handjobs,1,Which of the following sex acts do you find significantly erotic?,Handjobs,9885,15250,0.648
1::Pegging,1,Which of the following sex acts do you find significantly erotic?,Pegging,3311,15250,0.217
1::Rimming,1,Which of the following sex acts do you find significantly erotic?,Rimming,1674,15250,0.11
1::Rimmissement,1,Which of the following sex acts do you find significantly erotic?,Rimmissement,1,15250,0.0
1::Spanking,1,Which of the following sex acts do you find significantly erotic?,Spanking,9667,15250,0.634
1::Squirting,1,Which of the following sex acts do you find significantly erotic?,Squirting,8391,15250,0.55
1::Vaginal fingering,1,Which of the following sex acts do you find significantly erotic?,Vaginal fingering,12624,15250,0.828
4::Belches,4,Which of the following bodily secretions do you find erotic?,Belches,94,2897,0.032
4::Blood (menstrual),4,Which of the following bodily secretions do you find erotic?,Blood (menstrual),286,2897,0.099
4::Blood (normal),4,Which of the following bodily secretions do you find erotic?,Blood (normal),568,2897,0.196
4::Breast milk,4,Which of the following bodily secretions do you find erotic?,Breast milk,1047,2897,0.361
4::Cum (male ejaculate),4,Which of the following bodily secretions do you find erotic?,Cum (male ejaculate),1649,2897,0.569
4::Farts,4,Which of the following bodily secretions do you find erotic?,Farts,308,2897,0.106
4::Precum,4,Which of the following bodily secretions do you find erotic?,Precum,1311,2897,0.453
4::Saliva,4,Which of the following bodily secretions do you find erotic?,Saliva,1492,2897,0.515
4::Scat (poop),4,Which of the following bodily secretions do you find erotic?,Scat (poop),230,2897,0.079
4::Smegma,4,Which of the following bodily secretions do you find erotic?,Smegma,112,2897,0.039
4::Squirt,4,Which of the following bodily secretions do you find erotic?,Squirt,2373,2897,0.819
4::Sweat,4,Which of the following bodily secretions do you find erotic?,Sweat,993,2897,0.343
4::Urine,4,Which of the following bodily secretions do you find erotic?,Urine,1342,2897,0.463
4::Vomit,4,Which of the following bodily secretions do you find erotic?,Vomit,122,2897,0.042
6::Consuming it myself,6,"For breast milk, which of the following do you find erotic?",Consuming it myself,742,1044,0.711
6::Huge amounts of breast milk,6,"For breast milk, which of the following do you find erotic?",Huge amounts of breast milk,344,1044,0.33
6::Lactating myself,6,"For breast milk, which of the following do you find erotic?",Lactating myself,203,1044,0.194
6::Others consuming it,6,"For breast milk, which of the following do you find erotic?",Others consuming it,390,1044,0.374
6::Others lactating,6,"For breast milk, which of the following do you find erotic?",Others lactating,640,1044,0.613
"6::Others playing with it (e.g., smearing)",6,"For breast milk, which of the following do you find erotic?","Others playing with it (e.g., smearing)",316,1044,0.303
"6::Playing with it myself (e.g., smearing)",6,"For breast milk, which of the following do you find erotic?","Playing with it myself (e.g., smearing)",406,1044,0.389
6::Putting breast milk into my orifices,6,"For breast milk, which of the following do you find erotic?",Putting breast milk into my orifices,173,1044,0.166
6::Putting breast milk into others' orifices,6,"For breast milk, which of the following do you find erotic?",Putting breast milk into others' orifices,157,1044,0.15
"6::Unusual milk (e.g., coloring, thickness)",6,"For breast milk, which of the following do you find erotic?","Unusual milk (e.g., coloring, thickness)",46,1044,0.044
7::Consuming it myself,7,"For precum, which of the following do you find erotic?",Consuming it myself,748,1289,0.58
7::Huge amounts of precum,7,"For precum, which of the following do you find erotic?",Huge amounts of precum,627,1289,0.486
7::Making precum myself,7,"For precum, which of the following do you find erotic?",Making precum myself,643,1289,0.499
7::Others consuming it,7,"For precum, which of the following do you find erotic?",Others consuming it,642,1289,0.498
7::Others making precum,7,"For precum, which of the following do you find erotic?",Others making precum,824,1289,0.639
"7::Others playing with it (e.g., smearing)",7,"For precum, which of the following do you find erotic?","Others playing with it (e.g., smearing)",673,1289,0.522
"7::Playing with it myself (e.g., smearing)",7,"For precum, which of the following do you find erotic?","Playing with it myself (e.g., smearing)",710,1289,0.551
7::Putting precum into my orifices,7,"For precum, which of the following do you find erotic?",Putting precum into my orifices,472,1289,0.366
7::Putting precum into others' orifices,7,"For precum, which of the following do you find erotic?",Putting precum into others' orifices,442,1289,0.343
"7::Unusual precum (e.g., coloring, thickness)",7,"For precum, which of the following do you find erotic?","Unusual precum (e.g., coloring, thickness)",99,1289,0.077
8::Consuming it myself,8,"For saliva, which of the following do you find erotic?",Consuming it myself,912,1468,0.621
8::Huge amounts of saliva,8,"For saliva, which of the following do you find erotic?",Huge amounts of saliva,459,1468,0.313
8::Making saliva myself,8,"For saliva, which of the following do you find erotic?",Making saliva myself,683,1468,0.465
8::Others consuming it,8,"For saliva, which of the following do you find erotic?",Others consuming it,807,1468,0.55
8::Others making saliva,8,"For saliva, which of the following do you find erotic?",Others making saliva,972,1468,0.662
"8::Others playing with it (e.g., smearing)",8,"For saliva, which of the following do you find erotic?","Others playing with it (e.g., smearing)",806,1468,0.549
"8::Playing with it myself (e.g., smearing)",8,"For saliva, which of the following do you find erotic?","Playing with it myself (e.g., smearing)",653,1468,0.445
8::Putting saliva into my orifices,8,"For saliva, which of the following do you find erotic?",Putting saliva into my orifices,607,1468,0.413
8::Putting saliva into others' orifices,8,"For saliva, which of the following do you find erotic?",Putting saliva into others' orifices,676,1468,0.46
"8::Unusual saliva (e.g., coloring, thickness)",8,"For saliva, which of the following do you find erotic?","Unusual saliva (e.g., coloring, thickness)",76,1468,0.052
9::Consuming it myself,9,"For squirt, which of the following do you find erotic?",Consuming it myself,1104,2358,0.468
9::Huge amounts of squirt,9,"For squirt, which of the following do you find erotic?",Huge amounts of squirt,1398,2358,0.593
9::Others consuming it,9,"For squirt, which of the following do you find erotic?",Others consuming it,822,2358,0.349
"9::Others playing with it (e.g., smearing)",9,"For squirt, which of the following do you find erotic?","Others playing with it (e.g., smearing)",915,2358,0.388
9::Others squirting,9,"For squirt, which of the following do you find erotic?",Others squirting,1854,2358,0.786
"9::Playing with it myself (e.g., smearing)",9,"For squirt, which of the following do you find erotic?","Playing with it myself (e.g., smearing)",950,2358,0.403
9::Putting squirt into my orifices,9,"For squirt, which of the following do you find erotic?",Putting squirt into my orifices,405,2358,0.172
9::Putting squirt into others' orifices,9,"For squirt, which of the following do you find erotic?",Putting squirt into others' orifices,431,2358,0.183
9::Squirting myself,9,"For squirt, which of the following do you find erotic?",Squirting myself,740,2358,0.314
"9::Unusual squirt (e.g., coloring, thickness)",9,"For squirt, which of the following do you find erotic?","Unusual squirt (e.g., coloring, thickness)",102,2358,0.043
10::Consuming it myself,10,"For sweat, which of the following do you find erotic?",Consuming it myself,380,958,0.397
10::Huge amounts of sweat,10,"For sweat, which of the following do you find erotic?",Huge amounts of sweat,243,958,0.254
10::Others consuming it,10,"For sweat, which of the following do you find erotic?",Others consuming it,217,958,0.227
"10::Others playing with it (e.g., smearing)",10,"For sweat, which of the following do you find erotic?","Others playing with it (e.g., smearing)",249,958,0.26
10::Others sweating,10,"For sweat, which of the following do you find erotic?",Others sweating,867,958,0.905
"10::Playing with it myself (e.g., smearing)",10,"For sweat, which of the following do you find erotic?","Playing with it myself (e.g., smearing)",287,958,0.3
10::Putting sweat into my orifices,10,"For sweat, which of the following do you find erotic?",Putting sweat into my orifices,103,958,0.108
10::Putting sweat into others' orifices,10,"For sweat, which of the following do you find erotic?",Putting sweat into others' orifices,81,958,0.085
10::Sweating myself,10,"For sweat, which of the following do you find erotic?",Sweating myself,433,958,0.452
"10::Unusual sweat (e.g., coloring, thickness)",10,"For sweat, which of the following do you find erotic?","Unusual sweat (e.g., coloring, thickness)",38,958,0.04
11::Consuming it myself,11,"For urine, which of the following do you find erotic?",Consuming it myself,497,1324,0.375
11::Huge amounts of urine,11,"For urine, which of the following do you find erotic?",Huge amounts of urine,385,1324,0.291
11::Others consuming it,11,"For urine, which of the following do you find erotic?",Others consuming it,490,1324,0.37
"11::Others playing with it (e.g., smearing)",11,"For urine, which of the following do you find erotic?","Others playing with it (e.g., smearing)",533,1324,0.403
11::Others urinating,11,"For urine, which of the following do you find erotic?",Others urinating,1094,1324,0.826
"11::Playing with it myself (e.g., smearing)",11,"For urine, which of the following do you find erotic?","Playing with it myself (e.g., smearing)",460,1324,0.347
11::Putting urine into my orifices,11,"For urine, which of the following do you find erotic?",Putting urine into my orifices,337,1324,0.255
11::Putting urine into others' orifices,11,"For urine, which of the following do you find erotic?",Putting urine into others' orifices,381,1324,0.288
"11::Unusual urine (e.g., coloring, thickness)",11,"For urine, which of the following do you find erotic?","Unusual urine (e.g., coloring, thickness)",43,1324,0.032
11::Urinating myself,11,"For urine, which of the following do you find erotic?",Urinating myself,657,1324,0.496
13::Blindfolds,13,Which of the following do you find to be erotic?,Blindfolds,7779,8648,0.9
13::Butterfly chairs,13,Which of the following do you find to be erotic?,Butterfly chairs,1994,8648,0.231
13::Cages,13,Which of the following do you find to be erotic?,Cages,1617,8648,0.187
13::Chains,13,Which of the following do you find to be erotic?,Chains,4440,8648,0.513
13::Chastity Belts,13,Which of the following do you find to be erotic?,Chastity Belts,1397,8648,0.162
13::Face bondage,13,Which of the following do you find to be erotic?,Face bondage,2002,8648,0.231
13::Funnel gags,13,Which of the following do you find to be erotic?,Funnel gags,742,8648,0.086
13::Gags,13,Which of the following do you find to be erotic?,Gags,4549,8648,0.526
13::Handcuffs,13,Which of the following do you find to be erotic?,Handcuffs,8057,8648,0.932
13::Lacing Tables,13,Which of the following do you find to be erotic?,Lacing Tables,1108,8648,0.128
13::Leashes/collars,13,Which of the following do you find to be erotic?,Leashes/collars,4647,8648,0.537
13::Mummification,13,Which of the following do you find to be erotic?,Mummification,371,8648,0.043
13::Pony play,13,Which of the following do you find to be erotic?,Pony play,461,8648,0.053
13::Punishment ties,13,Which of the following do you find to be erotic?,Punishment ties,2496,8648,0.289
13::Shibari,13,Which of the following do you find to be erotic?,Shibari,2619,8648,0.303
13::St. Andrew's Cross,13,Which of the following do you find to be erotic?,St. Andrew's Cross,1301,8648,0.15
13::Stocks,13,Which of the following do you find to be erotic?,Stocks,1344,8648,0.155
13::Suspension,13,Which of the following do you find to be erotic?,Suspension,2496,8648,0.289
13::Water bondage,13,Which of the following do you find to be erotic?,Water bondage,595,8648,0.069
16::Affection,16,"Of these options, which one is the most erotic? (35jn7ei)",Affection,2211,8398,0.263
16::Caretaker/caretakee dynamics,16,"Of these options, which one is the most erotic? (35jn7ei)",Caretaker/caretakee dynamics,664,8398,0.079
16::Clear,16,"Of these options, which one is the most erotic? (35jn7ei)",Clear,1404,8398,0.167
16::Cuddling,16,"Of these options, which one is the most erotic? (35jn7ei)",Cuddling,1730,8398,0.206
16::Energy work,16,"Of these options, which one is the most erotic? (35jn7ei)",Energy work,50,8398,0.006
16::Romance,16,"Of these options, which one is the most erotic? (35jn7ei)",Romance,1625,8398,0.193
16::Sensual healing,16,"Of these options, which one is the most erotic? (35jn7ei)",Sensual healing,189,8398,0.023
16::Tantra,16,"Of these options, which one is the most erotic? (35jn7ei)",Tantra,167,8398,0.02
16::Therapeutic sexual experiences,16,"Of these options, which one is the most erotic? (35jn7ei)",Therapeutic sexual experiences,358,8398,0.043
16::enthusiastic consent,16,"Of these options, which one is the most erotic? (35jn7ei)",enthusiastic consent,1404,8398,0.167
17::Acting like the opposite gender,17,Which of the following do you find erotic? (lb02f7w),Acting like the opposite gender,464,1367,0.339
17::Androgyny,17,Which of the following do you find erotic? (lb02f7w),Androgyny,411,1367,0.301
"17::Crossdressing (nonpassing, people can tell)",17,Which of the following do you find erotic? (lb02f7w),"Crossdressing (nonpassing, people can tell)",387,1367,0.283
17::Crossdressing (passably; people can't tell),17,Which of the following do you find erotic? (lb02f7w),Crossdressing (passably; people can't tell),964,1367,0.705
17::Detransitioning,17,Which of the following do you find erotic? (lb02f7w),Detransitioning,37,1367,0.027
17::Drag Queens,17,Which of the following do you find erotic? (lb02f7w),Drag Queens,96,1367,0.07
17::Gender dysphoria,17,Which of the following do you find erotic? (lb02f7w),Gender dysphoria,94,1367,0.069
17::Hermaphroditism,17,Which of the following do you find erotic? (lb02f7w),Hermaphroditism,364,1367,0.266
17::Sissification (degredation by feminization),17,Which of the following do you find erotic? (lb02f7w),Sissification (degredation by feminization),615,1367,0.45
17::Transgenderism,17,Which of the following do you find erotic? (lb02f7w),Transgenderism,493,1367,0.361
19::Bukkake,19,Which of the following do you find erotic? (88ox5nl),Bukkake,1035,3805,0.272
19::Cheating,19,Which of the following do you find erotic? (88ox5nl),Cheating,1078,3805,0.283
19::Circle jerks,19,Which of the following do you find erotic? (88ox5nl),Circle jerks,461,3805,0.121
19::Cuckolding,19,Which of the following do you find erotic? (88ox5nl),Cuckolding,886,3805,0.233
19::Dogging (sex with strangers in public),19,Which of the following do you find erotic? (88ox5nl),Dogging (sex with strangers in public),1222,3805,0.321
19::Double penetration,19,Which of the following do you find erotic? (88ox5nl),Double penetration,2587,3805,0.68
19::Freeuse (society where people casually have sex with anyone),19,Which of the following do you find erotic? (88ox5nl),Freeuse (society where people casually have sex with anyone),1581,3805,0.416
19::Gang bangs,19,Which of the following do you find erotic? (88ox5nl),Gang bangs,2094,3805,0.55
19::Harems,19,Which of the following do you find erotic? (88ox5nl),Harems,1419,3805,0.373
"19::Hotwifing (wife sex with others, non-humiliatingly)",19,Which of the following do you find erotic? (88ox5nl),"Hotwifing (wife sex with others, non-humiliatingly)",1056,3805,0.278
19::Orgies,19,Which of the following do you find erotic? (88ox5nl),Orgies,1862,3805,0.489
19::Partner swapping,19,Which of the following do you find erotic? (88ox5nl),Partner swapping,1453,3805,0.382
19::Possessiveness (sexual partners fighting),19,Which of the following do you find erotic? (88ox5nl),Possessiveness (sexual partners fighting),1033,3805,0.271
19::Sloppy seconds,19,Which of the following do you find erotic? (88ox5nl),Sloppy seconds,756,3805,0.199
19::Soft swinging,19,Which of the following do you find erotic? (88ox5nl),Soft swinging,716,3805,0.188
19::Swinging,19,Which of the following do you find erotic? (88ox5nl),Swinging,871,3805,0.229
19::Synchronized fucking,19,Which of the following do you find erotic? (88ox5nl),Synchronized fucking,804,3805,0.211
19::Threesomes,19,Which of the following do you find erotic? (88ox5nl),Threesomes,3408,3805,0.896
19::Triple penetration,19,Which of the following do you find erotic? (88ox5nl),Triple penetration,1327,3805,0.349
20::Affection,20,Which of the following do you find erotic? (vqogs86),Affection,4279,4988,0.858
20::Caretaker/caretakee dynamics,20,Which of the following do you find erotic? (vqogs86),Caretaker/caretakee dynamics,1654,4988,0.332
20::Clear,20,Which of the following do you find erotic? (vqogs86),Clear,3803,4988,0.762
20::Cuddling,20,Which of the following do you find erotic? (vqogs86),Cuddling,4223,4988,0.847
20::Energy work,20,Which of the following do you find erotic? (vqogs86),Energy work,795,4988,0.159
20::Romance,20,Which of the following do you find erotic? (vqogs86),Romance,4335,4988,0.869
20::Sensual healing,20,Which of the following do you find erotic? (vqogs86),Sensual healing,1867,4988,0.374
20::Tantra,20,Which of the following do you find erotic? (vqogs86),Tantra,606,4988,0.121
20::Therapeutic sexual experiences,20,Which of the following do you find erotic? (vqogs86),Therapeutic sexual experiences,1985,4988,0.398
20::enthusiastic consent,20,Which of the following do you find erotic? (vqogs86),enthusiastic consent,3803,4988,0.762
29::Atheletes,29,Which of the following roles are erotic?,Atheletes,2301,5388,0.427
29::Babysitter,29,Which of the following roles are erotic?,Babysitter,2889,5388,0.536
29::Catboys,29,Which of the following roles are erotic?,Catboys,551,5388,0.102
29::Catgirls,29,Which of the following roles are erotic?,Catgirls,2251,5388,0.418
29::Celebrities,29,Which of the following roles are erotic?,Celebrities,1771,5388,0.329
29::Cheerleaders,29,Which of the following roles are erotic?,Cheerleaders,2966,5388,0.55
29::Criminals,29,Which of the following roles are erotic?,Criminals,1581,5388,0.293
29::Doctors,29,Which of the following roles are erotic?,Doctors,2878,5388,0.534
29::Escorts/prostitutes,29,Which of the following roles are erotic?,Escorts/prostitutes,1999,5388,0.371
29::Geishas,29,Which of the following roles are erotic?,Geishas,709,5388,0.132
29::Gigolos,29,Which of the following roles are erotic?,Gigolos,177,5388,0.033
29::Gynecologists,29,Which of the following roles are erotic?,Gynecologists,752,5388,0.14
29::Librarians,29,Which of the following roles are erotic?,Librarians,2153,5388,0.4
29::Maids,29,Which of the following roles are erotic?,Maids,3691,5388,0.685
29::Nazis,29,Which of the following roles are erotic?,Nazis,244,5388,0.045
29::Nuns,29,Which of the following roles are erotic?,Nuns,1413,5388,0.262
29::Nurses,29,Which of the following roles are erotic?,Nurses,3247,5388,0.603
29::Priests,29,Which of the following roles are erotic?,Priests,593,5388,0.11
29::Scientists,29,Which of the following roles are erotic?,Scientists,1320,5388,0.245
29::Strippers,29,Which of the following roles are erotic?,Strippers,2706,5388,0.502
29::Students,29,Which of the following roles are erotic?,Students,3270,5388,0.607
29::Teachers,29,Which of the following roles are erotic?,Teachers,4343,5388,0.806
"31::""Popular kids""",31,Which of the following do you find erotic? (9d7qzaw),"""Popular kids""",811,1929,0.42
31::Artists,31,Which of the following do you find erotic? (9d7qzaw),Artists,1032,1929,0.535
31::Geeks/nerds,31,Which of the following do you find erotic? (9d7qzaw),Geeks/nerds,1350,1929,0.7
31::Jocks,31,Which of the following do you find erotic? (9d7qzaw),Jocks,806,1929,0.418
31::Neurotic mothers,31,Which of the following do you find erotic? (9d7qzaw),Neurotic mothers,273,1929,0.142
31::Punks/goths,31,Which of the following do you find erotic? (9d7qzaw),Punks/goths,1143,1929,0.593
31::Stoners,31,Which of the following do you find erotic? (9d7qzaw),Stoners,564,1929,0.292
31::Theater people,31,Which of the following do you find erotic? (9d7qzaw),Theater people,425,1929,0.22
34::Asians,34,Which of the following do you find erotic? (9fkr5dx),Asians,1295,1497,0.865
34::Black people,34,Which of the following do you find erotic? (9fkr5dx),Black people,829,1497,0.554
34::Caucasians,34,Which of the following do you find erotic? (9fkr5dx),Caucasians,1091,1497,0.729
34::East asians,34,Which of the following do you find erotic? (9fkr5dx),East asians,889,1497,0.594
34::Middle eastern/arabic,34,Which of the following do you find erotic? (9fkr5dx),Middle eastern/arabic,755,1497,0.504
34::Native americans,34,Which of the following do you find erotic? (9fkr5dx),Native americans,633,1497,0.423
