col,dtype,n,pct,nuniq,sample
biomale,float64,15503,100.0,2,"['0.0', '1.0']"
age,str,15503,100.0,5,"['14-17', '18-20', '21-24', '25-28', '29-32']"
"As an adult, have you been the victim of sexual assault? (ld0srat)",str,15500,100.0,2,"['No', 'Yes']"
At what age did you first begin (at least semiregularly) masturbating?,str,15498,100.0,8,"['10-11', '12-13', '14-15', '16-17', '18+', '7 or younger']"
"Personally, your preferred relationship style is: (4jib23m)",str,15500,100.0,2,"['Monogamous', 'Not monogamous']"
sexcount,str,15263,98.5,5,"['0', '1-2', '21+', '3-7', '8-20']"
Have you ever had a sexual experience with someone else who did not want the experience? (2zafc2j),str,15500,100.0,4,"['No', 'Yes, extremely', 'Yes, significantly', 'Yes, slightly']"
"How ""sexually liberated"" was your upbringing? (fs700v2)",str,15496,100.0,3,"['Liberated', 'Neutral', 'Repressed']"
"From the ages of 0-14, how often were you spanked as a form of discipline? (p957nyk)",str,15496,100.0,3,"['Never', 'Often', 'Sometimes']"
opennessvariable,float64,15503,100.0,13,"['-1.0', '-2.0', '-3.0', '-4.0', '-5.0', '-6.0']"
consciensiousnessvariable,float64,15503,100.0,13,"['-1.0', '-2.0', '-3.0', '-4.0', '-5.0', '-6.0']"
extroversionvariable,float64,15503,100.0,13,"['-1.0', '-2.0', '-3.0', '-4.0', '-5.0', '-6.0']"
neuroticismvariable,float64,15503,100.0,13,"['-1.0', '-2.0', '-3.0', '-4.0', '-5.0', '-6.0']"
agreeablenessvariable,float64,15503,100.0,13,"['-1.0', '-2.0', '-3.0', '-4.0', '-5.0', '-6.0']"
powerlessnessvariable,float64,15503,100.0,19,"['-1.0', '-2.0', '-3.0', '-4.0', '-5.0', '-6.0']"
TotalMentalIllness,str,6196,40.0,1,['Any']
"Compared to other people of your same gender and age range, you are (yh6d44s)",str,15500,100.0,7,"['About average attractiveness', 'Moderately less attractive', 'Moderately more attractive', 'Significantly less attractive', 'Significantly more attr"
youfeelmost,str,14974,96.6,23,"['Aigreté ou désir', 'Ambivalence or disinterest', 'Anger or tension', 'Calmness or serenity', 'Cruelty or brutality', 'Despair or horror']"
Totalyoufeel,float64,15382,99.2,22,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
otherfeel1most,str,14634,94.4,23,"['Aigreté ou désir', 'Ambivalence or disinterest', 'Anger or tension', 'Calmness or serenity', 'Cruelty or brutality', 'Despair or horror']"
Totalotherfeel1,float64,15161,97.8,22,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
Your sexual interests feel (44qhm16),str,15499,100.0,7,"['A little broad', 'A little narrow', 'Equally narrow and broad', 'Somewhat broad', 'Somewhat narrow', 'Very broad']"
pornhabit,float64,15503,100.0,10,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
animated,float64,14190,91.5,5,"['-1.0', '-2.0', '0.0', '1.0', '2.0']"
written,float64,14188,91.5,5,"['-1.0', '-2.0', '0.0', '1.0', '2.0']"
violentporn,float64,14188,91.5,5,"['0.0', '1.0', '2.0', '3.0', '4.0']"
"""I am ashamed or embarrassed about at least some of what arouses me"" (7cw1ziu)",float64,15503,100.0,7,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
"""Engaging with or fantasizing about what arouses me feels therapeutic or healing to me"" (vmq8jqw)",float64,15501,100.0,7,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
"""I can get aroused by a partner doing what I like, even if I know they aren't aroused by it themselves"" (aw1a1ss)",float64,15502,100.0,7,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
"""I've acted upon or experimented with all the things that arouse me"" (41kpfir)",float64,15502,100.0,7,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
Have you paid for porn/erotic content? (pnltks8),str,15502,100.0,4,"['No', 'Occasionally', 'Once or twice', 'Regularly']"
"""In general, on average, the optimal amount of consent in my preferred erotic scenarios is:"" (b0ukpvo)",str,15497,100.0,5,"['Equally consenting and nonconsenting', 'Full nonconsent', 'Full, enthusiastic consent', 'Mostly consenting, slightly nonconsenting', 'Mostly noncons"
Which describes you best? (cvc5b81),str,15095,97.4,7,"['Moderately dominant', 'Moderately submissive', 'Slightly dominant', 'Slightly submissive', 'Switch/equal/no preference', 'Totally dominant']"
"""I sometimes find people who have clearly reached sexual maturity, but are not yet adults (e.g., ages 13-17), to be sexually attractive"" (kbpolw9)",float64,15501,100.0,7,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
"In scenarios you find erotic, you tend to identify with (or imagine being): (irv6czg)",str,15097,97.4,4,"['Somewhat all the roles at once', 'Somewhat one specific role', 'Totally all the roles at once', 'Totally one specific role']"
allrollidentity,float64,10860,70.1,3,"['-1.0', '1.0', '2.0']"
"""I find it erotic when two people of the opposite gender to me sexually interact with each other"" (fbqcymm)",float64,15499,100.0,7,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
You ______ what arouses you (7mz0awx),str,15502,100.0,6,"[""Fully don't know"", 'Fully know', ""Moderately don't know"", 'Moderately know', ""Slightly don't know"", 'Slightly know']"
knowwhatarousesyou,float64,15503,100.0,6,"['-1.0', '-2.0', '-3.0', '1.0', '2.0', '3.0']"
"In general, the most erotic scenarios are: (6e7lhil)",str,15097,97.4,7,"['Equally gentle and intense', 'Moderately gentle, low-energy', 'Moderately intense, high-energy', 'Slightly gentle, low-energy', 'Slightly intense, h"
highenergy,float64,15098,97.4,6,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
cunnilingus,float64,15503,100.0,6,"['-1.0', '-2.0', '-3.0', '-5.0', '-8.0', '0.0']"
"""I find dirtytalking erotic"" (947wne3)",float64,15502,100.0,6,"['-1.0', '-2.0', '-3.0', '-5.0', '-8.0', '0.0']"
"""I find the thought of existing (in *nonsexual* situations) as a biological *female* to be erotic"" (6w84yry)",float64,12772,82.4,7,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
"""I find the thought of existing (in *nonsexual* situations) as a biological *male* to be erotic"" (l7vpprx)",float64,12772,82.4,7,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
"Do you feel as though you've ""induced"" new fetishes into yourself through the use of porn or erotic content, that otherwise would not have existed for you?",str,15502,100.0,5,"[""I don't really have fetishes"", 'No', 'Yes: New and totally different to my preexisting fetishes', 'Yes: New but still similar to my preexisting feti"
inducefetish,float64,13747,88.7,4,"['0.0', '1.0', '2.0', '3.0']"
Which of the following sexual positions do you find significantly erotic?,str,15273,98.5,128,"['69', '69,Cow-girl,Doggystyle', '69,Cowgirl', '69,Cowgirl,Doggystyle', '69,Cowgirl,Doggystyle,Missionary', '69,Cowgirl,Doggystyle,Missionary,Reverse "
Which of the following sex acts do you find significantly erotic?,str,15250,98.4,4389,"['Anal fingering', 'Anal fingering,Ass-to-mouth/rimming', 'Anal fingering,Ass-to-mouth/rimming,Creampies (ejaculating into a vagina),Facefucking,Faces"
Totalsexacts,float64,15253,98.4,15,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
"Of these options, which one is the most erotic? (s4xytoy)",str,930,6.0,10,"['Bears', 'Cats', 'Dogs', 'Goats', 'Horses', 'Lions']"
Totalfetish1,float64,15335,98.9,17,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
Uncommon things: Check all the following categories that contain a thing that arouses you.,str,10244,66.1,1543,"['Abnormal bodies and body parts (massive bellies, tails/horns, giants, etc.)', 'Abnormal bodies and body parts (massive bellies, tails/horns, giants,"
"Of these options, which one is the most erotic? (i73h77h)",str,297,1.9,11,"['Amphibians', 'Birds', 'Dolphins/whales', 'Fish/sharks', 'Foxes', 'Insects/arachnids']"
Totalfetish2,float64,10245,66.1,13,"['1.0', '10.0', '11.0', '12.0', '13.0', '2.0']"
"""I find age-related things (beyond ""normal"" stuff like being attracted to people your own age) to be:"" (92qqx0)",float64,4223,27.2,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
secretions,float64,3163,20.4,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced sexual interest in bodily-secretions? (i2kfd9),str,2901,18.7,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
Which of the following bodily secretions do you find erotic?,str,2897,18.7,646,"['Belches', 'Belches,Blood (menstrual),Breast milk,Cum (male ejaculate),Farts,Precum,Saliva,Scat (poop),Smegma,Squirt,Sweat,Urine', 'Belches,Blood (me"
"Of these options, which one is the most erotic? (i73h77k)",str,6657,42.9,29,"['Ankles', 'Areolas', 'Armpits', 'Arms', 'Belly', 'Buttocks']"
Totalsecretions,float64,2897,18.7,14,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
"For breast milk, which of the following do you find erotic?",str,1044,6.7,211,"['Consuming it myself', 'Consuming it myself,Huge amounts of breast milk', 'Consuming it myself,Huge amounts of breast milk,Unusual milk (e.g., colori"
"For precum, which of the following do you find erotic?",str,1289,8.3,291,"['Consuming it myself', 'Consuming it myself,Huge amounts of precum', 'Consuming it myself,Making precum myself', 'Consuming it myself,Making precum m"
"For saliva, which of the following do you find erotic?",str,1468,9.5,326,"['Consuming it myself', 'Consuming it myself,Huge amounts of saliva', 'Consuming it myself,Making saliva myself', 'Consuming it myself,Making saliva m"
"For squirt, which of the following do you find erotic?",str,2358,15.2,277,"['Consuming it myself', 'Consuming it myself,Huge amounts of squirt', 'Consuming it myself,Others consuming it', 'Consuming it myself,Others consuming"
"For sweat, which of the following do you find erotic?",str,958,6.2,127,"['Consuming it myself', 'Consuming it myself,Huge amounts of sweat', 'Consuming it myself,Others consuming it', 'Consuming it myself,Others consuming "
"For urine, which of the following do you find erotic?",str,1324,8.5,240,"['Consuming it myself', 'Consuming it myself,Huge amounts of urine', 'Consuming it myself,Others consuming it', 'Consuming it myself,Others consuming "
Select all body parts you find significantly erotic,str,6722,43.4,6003,"['Areolas', 'Areolas,Belly,Buttocks,Thighs', 'Areolas,Belly,Buttocks,Thighs,Feet,Toes', 'Areolas,Belly,Hips', 'Areolas,Belly,Hips,Buttocks,Pubic mound"
"Of these options, which one is the most erotic? (i73h77m)",str,4968,32.0,22,"['Animal-esque clothing (e.g., cat ears)', 'Boots', 'Bras', 'Briefs', 'Chokers', 'Corsets']"
Totalbodyparts,float64,6723,43.4,29,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
How old were you when you first experienced interest in specific body parts (not including standard sexual body parts like breasts or genitals)? (71x4a7w),str,6755,43.6,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
lightbondage,float64,8702,56.1,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
mediumbondage,float64,8701,56.1,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
extremebondage,float64,8701,56.1,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
"In general, I prefer when the person in bondage is",str,8699,56.1,2,"['Me', 'Someone else']"
Which of the following do you find to be erotic?,str,8648,55.8,2925,"['Blindfolds', 'Blindfolds,Butterfly chairs', 'Blindfolds,Butterfly chairs,Cages,Chains,Chastity Belts,Face bondage', 'Blindfolds,Butterfly chairs,Cag"
bondagemost,str,8394,54.1,19,"['Blindfolds', 'Butterfly chairs', 'Cages', 'Chains', 'Chastity Belts', 'Face bondage']"
Totalbondage,float64,8650,55.8,19,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
How old were you when you first experienced sexual interest in bondage? (tdxu7cp),str,8699,56.1,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
clothing,float64,8258,53.3,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced interest in clothing related sexual interests? (4kl54pc),str,8097,52.2,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
whowears,float64,8099,52.2,12,"['100.0', '1000.0', '150.0', '1600.0', '200.0', '250.0']"
Which of the following do you find erotic? (fv0xaot),str,4431,28.6,7,"['Clothing items (shoes, chokers, diapers, etc.)', 'Clothing items (shoes, chokers, diapers, etc.),Clothing materials (latex, leather, etc.)', 'Clothi"
"Of these options, which one is the most erotic? (i73h77o)",str,112,0.7,10,"['Body combinations (joined with another person)', 'Body swaps (e.g. limbs replaced with other things)', 'Decay', 'Destructive pregnancy', 'Disease', "
Totalclothingitems,float64,5071,32.7,22,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
eagerness,float64,11759,75.8,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced interest in eagerness related sexual interests? (twg3prj),str,11632,75.0,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
worshipped,float64,11633,75.0,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
worshipping,float64,11633,75.0,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
teasing,float64,11633,75.0,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
frustration,float64,11633,75.0,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
"Of these options, which one is the most erotic? (35jn7ei)",str,8398,54.2,9,"['Affection', 'Caretaker/caretakee dynamics', 'Clear, enthusiastic consent', 'Cuddling', 'Energy work', 'Romance']"
Totaleager2,float64,11296,72.9,9,"['1.0', '2.0', '3.0', '4.0', '5.0', '6.0']"
exhibitionself,float64,6723,43.4,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
exhibitionother,float64,6723,43.4,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
voyeurself,float64,6723,43.4,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
voyeurother,float64,6723,43.4,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced sexual interest in exhibitionism or voyeurism? (xwggkkr),str,6721,43.4,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
genderplay,float64,2828,18.2,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced interest in genderplay related sexual interests? (3yixh1c),str,2732,17.6,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
futa,float64,2732,17.6,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
"""I find it most erotic when the subject of my genderplay interest is:""",str,2732,17.6,2,"['Me', 'The other person']"
Which of the following do you find erotic? (lb02f7w),str,1367,8.8,222,"['Acting like the opposite gender', 'Acting like the opposite gender,Androgyny', 'Acting like the opposite gender,Hermaphroditism', 'Acting like the o"
Totalgenderplay2,float64,2463,15.9,11,"['1.0', '10.0', '11.0', '2.0', '3.0', '4.0']"
multiplepartners,float64,6264,40.4,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced sexual interest in multiple partners or related scenarios? (hz27wpx),str,6196,40.0,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
