a,b,n,r_raw,r_adj,null_sd,z
1,4,2890,-0.114,-0.086,0.02,4.2
1,6,1044,0.027,0.018,0.03,0.6
1,7,1289,-0.067,0.023,0.026,0.9
1,8,1468,0.054,0.063,0.026,2.4
1,9,2358,-0.097,-0.064,0.019,3.3
1,11,1323,-0.117,-0.128,0.029,4.4
1,13,8605,0.123,0.123,0.01,12.0
1,17,1360,-0.025,-0.017,0.027,0.6
1,19,3797,-0.024,-0.014,0.017,0.8
1,20,4941,0.056,0.054,0.013,4.1
1,29,5373,-0.062,-0.059,0.013,4.5
1,36,2845,-0.08,-0.086,0.019,4.4
1,39,1683,-0.034,-0.038,0.024,1.6
1,42,1649,0.087,0.093,0.025,3.7
1,48,2904,0.116,0.11,0.019,5.7
1,51,1258,0.037,0.032,0.029,1.1
1,53,2868,-0.109,-0.111,0.019,5.8
1,55,5017,0.031,0.025,0.013,2.0
1,62,3387,-0.303,-0.286,0.018,15.8
1,63,4990,-0.039,-0.047,0.014,3.4
1,67,5398,-0.049,-0.058,0.014,4.2
1,73,2373,0.019,0.007,0.021,0.4
1,77,5034,-0.184,-0.194,0.013,15.1
1,79,9192,0.072,0.086,0.01,8.4
1,81,1650,-0.149,-0.154,0.024,6.4
1,83,1604,-0.097,-0.004,0.024,0.2
1,85,2179,0.142,0.144,0.02,7.3
1,90,3652,-0.038,-0.039,0.016,2.4
1,91,1310,0.015,0.042,0.029,1.4
1,92,3577,-0.152,-0.153,0.016,9.6
1,93,3222,-0.248,-0.247,0.019,13.3
1,95,1091,0.167,0.171,0.029,5.8
1,96,2336,0.041,0.046,0.021,2.2
4,6,1044,-0.306,-0.185,0.031,6.0
4,7,1289,0.312,0.146,0.027,5.4
4,8,1468,0.016,-0.011,0.025,0.5
4,9,2358,0.41,0.213,0.02,10.5
4,11,1324,0.049,0.085,0.029,2.9
4,13,1909,-0.081,-0.086,0.024,3.6
4,17,415,-0.061,-0.095,0.046,2.0
4,19,937,-0.179,-0.088,0.035,2.5
4,20,919,-0.098,-0.102,0.031,3.3
4,29,1337,-0.314,-0.163,0.027,6.1
4,36,839,0.19,0.127,0.035,3.6
4,39,559,0.014,-0.001,0.042,0.0
4,42,591,-0.178,-0.129,0.04,3.2
4,48,898,-0.074,0.003,0.033,0.1
4,51,449,-0.087,-0.051,0.047,1.1
4,53,772,-0.268,-0.17,0.037,4.6
4,55,1433,0.051,0.039,0.026,1.5
4,62,1110,0.136,0.038,0.029,1.3
4,63,1103,0.034,-0.034,0.033,1.1
4,67,1418,0.209,0.087,0.029,3.1
4,73,528,0.31,0.136,0.043,3.2
4,77,1185,0.143,-0.001,0.029,0.0
4,79,1926,-0.153,-0.067,0.021,3.2
4,81,562,0.129,0.075,0.043,1.8
4,83,1604,0.262,0.131,0.024,5.5
4,85,628,0.223,0.148,0.036,4.2
4,90,762,0.024,-0.005,0.036,0.1
4,92,904,0.074,0.03,0.033,0.9
4,93,911,0.105,-0.006,0.035,0.2
4,96,631,-0.139,-0.072,0.039,1.9
6,7,525,-0.462,-0.254,0.041,6.2
6,8,652,0.1,0.106,0.04,2.7
6,9,930,-0.607,-0.472,0.033,14.3
6,11,603,-0.099,-0.116,0.042,2.8
6,13,730,-0.04,-0.024,0.035,0.7
6,29,585,0.349,0.237,0.045,5.3
6,48,431,0.099,0.062,0.045,1.4
6,55,549,-0.118,-0.105,0.044,2.4
6,62,468,-0.061,-0.024,0.045,0.5
6,67,597,-0.159,-0.054,0.039,1.4
6,77,435,-0.175,-0.083,0.047,1.7
6,79,703,0.141,0.082,0.037,2.2
6,83,561,-0.497,-0.263,0.044,5.9
7,8,865,0.215,0.229,0.035,6.5
7,9,1025,0.588,0.349,0.03,11.6
7,11,690,-0.364,-0.349,0.033,10.7
7,13,949,-0.036,-0.035,0.033,1.1
7,19,477,-0.274,-0.164,0.045,3.6
7,20,474,0.032,0.029,0.043,0.7
7,29,620,-0.474,-0.24,0.04,6.0
7,36,511,0.172,0.104,0.042,2.5
7,48,509,-0.136,-0.015,0.041,0.4
